Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Churn Value,Zip Code,Population,Per capita personal income,Personal incomeX,Employer contributions,Farm proprietors income,Nonfarm proprietors income,Farm proprietors employment,Income maintenance benefits,Nonfarm proprietors employment,Per capita income maintenance benefits,Per capita retirement and other,Per capita unemployment insurance compensation,Proprietors income,Retirement and other,Supplements to wages and salaries,Unemployment insurance compensation,Wages and salaries,Average nonfarm proprietors income,Average wages and salaries,"Dividends, interest, and rent",Earnings by place of work,Net earnings by place of residence,"Per capita dividends, interest, and rent",Per capita net earnings,Per capita personal current transfer receipts,Personal current transfer receipts,Proprietors employment,Wage and salary employment,Average earnings per job,Personal incomeY,Total employment
0,0,1,5,1,36.07,0,1,2,41,0,0,1,0,1,0,1,1,0,1,0,84.85,84.85,0.0,0,36.07,120.92,1,25,1,0,0,0,0,1,94568,29636,97754.0,159241119.0,10955073.0,31062.0,12633213.0,316.0,2421858.0,255691.0,1487.0,10485.0,94.0,12664275.0,17080079.0,16180584.0,153266.0,80611913.0,49408.0,95404.0,26388582.0,109456772.0,113197334.0,16199.0,69489.0,12066.0,19655203.0,256007.0,844952.0,99419.0,159241119.0,1100959.0
0,0,12,5,1,7.97,0,1,0,10,1,0,0,1,0,0,0,1,0,0,1,56.65,654.85,0.0,0,95.64,750.49,1,42,0,0,0,0,0,1,94569,173,95047.0,109965993.0,4820484.0,23020.0,7567337.0,434.0,1349628.0,198452.0,1167.0,10407.0,94.0,7590357.0,12040282.0,7049157.0,108834.0,33441252.0,38132.0,84216.0,21730042.0,48080766.0,74737207.0,18782.0,64598.0,11667.0,13498744.0,198886.0,397089.0,80676.0,109965993.0,595975.0
0,0,42,1,1,5.75,0,1,1,53,1,1,1,1,0,1,1,1,1,0,1,73.9,3160.55,0.0,0,241.5,3402.05,0,22,1,0,0,0,0,1,94572,8506,95047.0,109965993.0,4820484.0,23020.0,7567337.0,434.0,1349628.0,198452.0,1167.0,10407.0,94.0,7590357.0,12040282.0,7049157.0,108834.0,33441252.0,38132.0,84216.0,21730042.0,48080766.0,74737207.0,18782.0,64598.0,11667.0,13498744.0,198886.0,397089.0,80676.0,109965993.0,595975.0
1,1,33,5,1,35.31,1,0,3,0,0,0,0,0,0,0,0,0,2,1,1,24.5,740.3,35.05,0,1165.23,1870.48,0,21,1,0,1,0,0,1,94574,9423,86863.0,11665710.0,911389.0,14154.0,1393495.0,1138.0,116208.0,25091.0,865.0,11611.0,97.0,1407649.0,1559415.0,1317079.0,13009.0,5691441.0,55538.0,69788.0,3082814.0,8416169.0,6894264.0,22955.0,51335.0,12574.0,1688632.0,26229.0,81553.0,78085.0,11665710.0,107782.0
0,0,31,5,1,6.33,1,1,2,11,0,0,1,0,0,1,1,1,0,1,0,89.9,2806.9,41.18,0,196.23,2961.9500000000003,0,54,0,0,0,0,0,1,94587,66472,97754.0,159241119.0,10955073.0,31062.0,12633213.0,316.0,2421858.0,255691.0,1487.0,10485.0,94.0,12664275.0,17080079.0,16180584.0,153266.0,80611913.0,49408.0,95404.0,26388582.0,109456772.0,113197334.0,16199.0,69489.0,12066.0,19655203.0,256007.0,844952.0,99419.0,159241119.0,1100959.0
1,1,42,1,1,34.65,1,1,2,9,0,1,1,1,0,1,1,0,0,1,0,99.45,4138.05,30.46,140,1455.3,5702.89,1,50,0,0,1,0,0,1,94601,54876,97754.0,159241119.0,10955073.0,31062.0,12633213.0,316.0,2421858.0,255691.0,1487.0,10485.0,94.0,12664275.0,17080079.0,16180584.0,153266.0,80611913.0,49408.0,95404.0,26388582.0,109456772.0,113197334.0,16199.0,69489.0,12066.0,19655203.0,256007.0,844952.0,99419.0,159241119.0,1100959.0
0,0,12,5,1,42.58,1,1,1,22,0,0,0,1,1,1,1,1,1,0,1,74.05,872.65,48.61,0,510.96,1335.0,0,57,0,0,0,0,0,1,94603,31392,97754.0,159241119.0,10955073.0,31062.0,12633213.0,316.0,2421858.0,255691.0,1487.0,10485.0,94.0,12664275.0,17080079.0,16180584.0,153266.0,80611913.0,49408.0,95404.0,26388582.0,109456772.0,113197334.0,16199.0,69489.0,12066.0,19655203.0,256007.0,844952.0,99419.0,159241119.0,1100959.0
1,1,7,5,1,19.23,0,1,2,52,0,1,0,1,1,0,0,1,0,1,0,89.75,608.8,26.02,0,134.61,717.39,1,25,1,0,1,0,0,1,94611,36517,97754.0,159241119.0,10955073.0,31062.0,12633213.0,316.0,2421858.0,255691.0,1487.0,10485.0,94.0,12664275.0,17080079.0,16180584.0,153266.0,80611913.0,49408.0,95404.0,26388582.0,109456772.0,113197334.0,16199.0,69489.0,12066.0,19655203.0,256007.0,844952.0,99419.0,159241119.0,1100959.0
1,1,14,5,1,21.3,1,1,2,42,0,0,0,0,0,1,1,1,0,1,0,85.15,1139.2,38.48,0,298.2,1398.92,1,27,1,0,1,0,0,1,94706,15882,97754.0,159241119.0,10955073.0,31062.0,12633213.0,316.0,2421858.0,255691.0,1487.0,10485.0,94.0,12664275.0,17080079.0,16180584.0,153266.0,80611913.0,49408.0,95404.0,26388582.0,109456772.0,113197334.0,16199.0,69489.0,12066.0,19655203.0,256007.0,844952.0,99419.0,159241119.0,1100959.0
0,0,16,5,1,20.44,0,1,2,59,1,0,0,0,1,1,1,0,0,1,0,94.25,1483.25,0.0,140,327.04,1950.29,1,27,1,0,0,0,0,1,94804,39089,95047.0,109965993.0,4820484.0,23020.0,7567337.0,434.0,1349628.0,198452.0,1167.0,10407.0,94.0,7590357.0,12040282.0,7049157.0,108834.0,33441252.0,38132.0,84216.0,21730042.0,48080766.0,74737207.0,18782.0,64598.0,11667.0,13498744.0,198886.0,397089.0,80676.0,109965993.0,595975.0
1,1,65,1,1,26.75,1,1,0,51,1,1,1,0,0,1,1,1,1,0,1,72.45,4653.85,14.23,0,1738.75,6378.370000000001,1,24,1,0,1,0,0,1,94805,13984,95047.0,109965993.0,4820484.0,23020.0,7567337.0,434.0,1349628.0,198452.0,1167.0,10407.0,94.0,7590357.0,12040282.0,7049157.0,108834.0,33441252.0,38132.0,84216.0,21730042.0,48080766.0,74737207.0,18782.0,64598.0,11667.0,13498744.0,198886.0,397089.0,80676.0,109965993.0,595975.0
0,0,42,1,1,33.46,1,1,2,52,1,0,1,0,1,1,1,1,0,1,0,105.2,4400.75,40.15,0,1405.32,5765.92,0,26,1,0,0,0,0,1,94901,40239,171177.0,43824350.0,1410029.0,34702.0,5524856.0,209.0,255195.0,74443.0,997.0,11013.0,78.0,5559558.0,2819586.0,2069875.0,19899.0,10669749.0,74216.0,90232.0,14516546.0,18299182.0,26213124.0,56701.0,102388.0,12088.0,3094680.0,74652.0,118248.0,94864.0,43824350.0,192900.0
1,3,6,5,1,8.59,1,1,2,28,0,0,0,0,1,0,0,1,0,1,0,82.85,460.25,48.95,0,51.54,462.84,1,34,0,0,1,0,0,1,94928,42544,77900.0,37598558.0,2368858.0,13525.0,3709925.0,2521.0,508637.0,88265.0,1054.0,11732.0,90.0,3723450.0,5662671.0,3436031.0,43319.0,15738765.0,42032.0,71101.0,9106544.0,22898246.0,22277387.0,18868.0,46156.0,12876.0,6214627.0,90786.0,221359.0,73358.0,37598558.0,312145.0
1,1,5,5,1,7.0,0,1,2,23,0,1,0,0,0,1,1,1,0,1,0,83.6,404.2,24.44,0,35.0,414.76,0,54,0,0,1,0,0,1,94945,16429,171177.0,43824350.0,1410029.0,34702.0,5524856.0,209.0,255195.0,74443.0,997.0,11013.0,78.0,5559558.0,2819586.0,2069875.0,19899.0,10669749.0,74216.0,90232.0,14516546.0,18299182.0,26213124.0,56701.0,102388.0,12088.0,3094680.0,74652.0,118248.0,94864.0,43824350.0,192900.0
0,0,68,0,1,21.74,1,1,2,73,0,1,1,1,1,1,1,1,1,0,0,108.45,7176.55,9.68,0,1478.32,8645.19,1,24,1,0,0,0,0,1,94950,248,171177.0,43824350.0,1410029.0,34702.0,5524856.0,209.0,255195.0,74443.0,997.0,11013.0,78.0,5559558.0,2819586.0,2069875.0,19899.0,10669749.0,74216.0,90232.0,14516546.0,18299182.0,26213124.0,56701.0,102388.0,12088.0,3094680.0,74652.0,118248.0,94864.0,43824350.0,192900.0
1,1,3,5,1,31.61,1,1,2,20,0,1,0,0,0,1,1,0,0,1,1,91.5,242.95,0.0,10,94.83,347.78,0,33,0,0,1,0,0,1,94965,11213,171177.0,43824350.0,1410029.0,34702.0,5524856.0,209.0,255195.0,74443.0,997.0,11013.0,78.0,5559558.0,2819586.0,2069875.0,19899.0,10669749.0,74216.0,90232.0,14516546.0,18299182.0,26213124.0,56701.0,102388.0,12088.0,3094680.0,74652.0,118248.0,94864.0,43824350.0,192900.0
1,3,12,5,1,18.26,0,1,2,18,1,0,0,1,0,0,0,1,0,0,0,80.85,866.45,23.72,0,219.12,1061.85,1,57,0,0,1,0,0,1,94973,1449,171177.0,43824350.0,1410029.0,34702.0,5524856.0,209.0,255195.0,74443.0,997.0,11013.0,78.0,5559558.0,2819586.0,2069875.0,19899.0,10669749.0,74216.0,90232.0,14516546.0,18299182.0,26213124.0,56701.0,102388.0,12088.0,3094680.0,74652.0,118248.0,94864.0,43824350.0,192900.0
0,0,43,1,0,0.0,0,1,1,12,0,0,1,0,1,1,1,1,0,1,0,49.05,2076.2,20.29,0,0.0,2055.91,0,64,0,0,0,0,0,1,95003,24227,86365.0,22832350.0,1234636.0,33333.0,2006974.0,447.0,332249.0,44442.0,1257.0,10636.0,134.0,2040307.0,2811961.0,1728797.0,35474.0,7187549.0,45159.0,64358.0,5268437.0,10956653.0,14384229.0,19928.0,54409.0,12027.0,3179684.0,44889.0,111680.0,69980.0,22832350.0,156569.0
1,1,70,0,1,16.78,1,1,2,48,1,1,1,1,1,1,1,1,2,1,0,114.2,7723.9,48.54,0,1174.6,8849.96,0,21,1,0,1,0,0,1,95014,54431,144399.0,270162197.0,16599070.0,47691.0,16243585.0,709.0,2023296.0,281121.0,1081.0,8825.0,83.0,16291276.0,16510340.0,26187152.0,154405.0,206166002.0,57781.0,169868.0,53122613.0,248644430.0,198351543.0,28393.0,106017.0,9989.0,18688041.0,281830.0,1213681.0,166261.0,270162197.0,1495511.0
0,0,1,5,1,26.0,0,1,2,8,0,0,0,0,0,0,0,1,0,0,2,70.75,70.75,0.0,0,26.0,96.75,0,56,0,0,0,0,0,1,95018,8728,86365.0,22832350.0,1234636.0,33333.0,2006974.0,447.0,332249.0,44442.0,1257.0,10636.0,134.0,2040307.0,2811961.0,1728797.0,35474.0,7187549.0,45159.0,64358.0,5268437.0,10956653.0,14384229.0,19928.0,54409.0,12027.0,3179684.0,44889.0,111680.0,69980.0,22832350.0,156569.0
0,0,3,5,0,0.0,0,1,1,26,0,0,1,0,1,0,0,1,0,1,2,40.15,130.75,0.0,0,0.0,130.75,1,19,1,0,0,0,0,1,92027,48690,74326.0,243506541.0,21449772.0,115137.0,13241248.0,4045.0,4136688.0,552616.0,1263.0,10204.0,94.0,13356385.0,33431016.0,30704869.0,307737.0,134153290.0,23961.0,78272.0,50596618.0,178214544.0,155034482.0,15444.0,47321.0,11561.0,37875441.0,556661.0,1713934.0,78488.0,243506541.0,2270595.0
1,3,36,5,1,24.51,1,1,2,27,0,1,1,0,1,0,0,1,0,1,0,97.35,3457.9,4.96,0,882.36,4335.3,0,39,0,0,1,0,0,1,95050,36349,144399.0,270162197.0,16599070.0,47691.0,16243585.0,709.0,2023296.0,281121.0,1081.0,8825.0,83.0,16291276.0,16510340.0,26187152.0,154405.0,206166002.0,57781.0,169868.0,53122613.0,248644430.0,198351543.0,28393.0,106017.0,9989.0,18688041.0,281830.0,1213681.0,166261.0,270162197.0,1495511.0
0,0,1,5,0,0.0,0,1,1,18,0,0,0,0,1,1,1,1,0,1,2,45.3,45.3,0.0,0,0.0,45.3,1,34,0,0,0,0,0,1,95076,81141,86365.0,22832350.0,1234636.0,33333.0,2006974.0,447.0,332249.0,44442.0,1257.0,10636.0,134.0,2040307.0,2811961.0,1728797.0,35474.0,7187549.0,45159.0,64358.0,5268437.0,10956653.0,14384229.0,19928.0,54409.0,12027.0,3179684.0,44889.0,111680.0,69980.0,22832350.0,156569.0
0,0,2,5,1,26.05,0,1,2,2,0,0,1,0,1,1,1,1,0,0,0,94.95,178.1,0.0,0,52.1,230.2,1,61,0,0,0,0,0,1,95111,57748,144399.0,270162197.0,16599070.0,47691.0,16243585.0,709.0,2023296.0,281121.0,1081.0,8825.0,83.0,16291276.0,16510340.0,26187152.0,154405.0,206166002.0,57781.0,169868.0,53122613.0,248644430.0,198351543.0,28393.0,106017.0,9989.0,18688041.0,281830.0,1213681.0,166261.0,270162197.0,1495511.0
0,0,12,5,1,5.16,0,1,1,16,0,0,0,0,0,0,0,0,0,1,0,44.55,480.6,18.21,0,61.92,524.3100000000001,0,33,0,0,0,1,1,1,95113,561,144399.0,270162197.0,16599070.0,47691.0,16243585.0,709.0,2023296.0,281121.0,1081.0,8825.0,83.0,16291276.0,16510340.0,26187152.0,154405.0,206166002.0,57781.0,169868.0,53122613.0,248644430.0,198351543.0,28393.0,106017.0,9989.0,18688041.0,281830.0,1213681.0,166261.0,270162197.0,1495511.0
1,3,1,4,0,0.0,0,1,1,21,0,0,0,0,0,0,0,1,0,1,0,23.45,23.45,0.0,0,0.0,23.45,1,55,0,0,1,0,0,1,95121,37127,144399.0,270162197.0,16599070.0,47691.0,16243585.0,709.0,2023296.0,281121.0,1081.0,8825.0,83.0,16291276.0,16510340.0,26187152.0,154405.0,206166002.0,57781.0,169868.0,53122613.0,248644430.0,198351543.0,28393.0,106017.0,9989.0,18688041.0,281830.0,1213681.0,166261.0,270162197.0,1495511.0
0,0,1,4,0,0.0,0,1,0,69,1,0,0,0,0,0,0,1,0,0,2,29.7,29.7,0.0,0,0.0,29.7,1,30,0,0,0,0,0,1,95127,60620,144399.0,270162197.0,16599070.0,47691.0,16243585.0,709.0,2023296.0,281121.0,1081.0,8825.0,83.0,16291276.0,16510340.0,26187152.0,154405.0,206166002.0,57781.0,169868.0,53122613.0,248644430.0,198351543.0,28393.0,106017.0,9989.0,18688041.0,281830.0,1213681.0,166261.0,270162197.0,1495511.0
1,4,59,1,1,9.23,1,1,2,48,0,1,0,0,1,1,1,1,0,0,0,101.1,6039.9,0.0,0,544.57,6584.469999999999,0,21,1,0,1,0,0,1,95129,37570,144399.0,270162197.0,16599070.0,47691.0,16243585.0,709.0,2023296.0,281121.0,1081.0,8825.0,83.0,16291276.0,16510340.0,26187152.0,154405.0,206166002.0,57781.0,169868.0,53122613.0,248644430.0,198351543.0,28393.0,106017.0,9989.0,18688041.0,281830.0,1213681.0,166261.0,270162197.0,1495511.0
0,0,3,4,1,22.56,1,1,0,3,0,0,0,0,0,0,0,1,0,1,2,50.65,151.3,0.0,0,67.67999999999999,218.98,0,51,0,0,0,0,0,1,95132,40568,144399.0,270162197.0,16599070.0,47691.0,16243585.0,709.0,2023296.0,281121.0,1081.0,8825.0,83.0,16291276.0,16510340.0,26187152.0,154405.0,206166002.0,57781.0,169868.0,53122613.0,248644430.0,198351543.0,28393.0,106017.0,9989.0,18688041.0,281830.0,1213681.0,166261.0,270162197.0,1495511.0
0,0,1,4,1,13.01,0,1,0,4,0,0,0,0,0,1,1,1,0,1,0,55.4,55.4,0.0,0,13.01,68.41,0,37,0,0,0,0,0,1,95135,15798,144399.0,270162197.0,16599070.0,47691.0,16243585.0,709.0,2023296.0,281121.0,1081.0,8825.0,83.0,16291276.0,16510340.0,26187152.0,154405.0,206166002.0,57781.0,169868.0,53122613.0,248644430.0,198351543.0,28393.0,106017.0,9989.0,18688041.0,281830.0,1213681.0,166261.0,270162197.0,1495511.0
0,0,52,1,1,33.69,1,1,2,52,1,1,0,1,1,1,1,1,1,1,1,111.25,5916.45,1.27,0,1751.88,7667.059999999999,0,20,1,0,0,0,0,1,95220,6317,54183.0,42979635.0,3037973.0,353142.0,3091889.0,2588.0,1459405.0,86449.0,1840.0,10968.0,127.0,3445031.0,8699933.0,4327675.0,100561.0,17647134.0,35765.0,59741.0,5297790.0,25419840.0,27421946.0,6679.0,34570.0,12934.0,10259899.0,89037.0,295394.0,66123.0,42979635.0,384431.0
0,0,2,4,1,5.33,0,1,0,52,1,0,1,0,0,0,0,1,0,1,2,55.1,113.35,0.0,0,10.66,124.01,1,19,1,0,0,0,0,1,95222,4264,56001.0,2607568.0,130247.0,-3801.0,204084.0,488.0,65259.0,6645.0,1402.0,14477.0,96.0,200283.0,674115.0,167659.0,4492.0,569660.0,30712.0,50164.0,489629.0,937602.0,1374073.0,10515.0,29510.0,15975.0,743866.0,7133.0,11356.0,50711.0,2607568.0,18489.0
1,1,13,5,1,30.55,1,1,2,28,0,0,1,0,1,1,1,1,0,1,1,102.25,1359.0,0.0,0,397.15,1756.15,1,36,0,0,1,0,0,1,95250,88,72914.0811194772,213102899.55917034,16356162.644551784,140424.0492967751,16689876.424492115,1330.026424207984,5899930.323341384,531769.8147464128,1721.4655490836767,11088.996164227874,117.10115073163801,16830300.47378889,31678656.18028129,23796866.20045461,362026.4938201449,114963570.28612019,35188.66202585595,74309.40829663305,41935522.38641853,155590736.9603637,133226764.17530899,14393.717573518965,45592.77170052564,12927.570393521806,37940612.99744282,533099.8411706209,1410899.1562721978,76938.57124591562,213102899.55917034,1943998.9974428185
0,0,5,4,1,24.32,0,1,0,22,1,0,0,1,0,0,0,0,0,0,1,53.85,259.8,22.96,10,121.6,368.44,0,34,0,0,0,0,0,1,95310,2144,52806.0,2879540.0,216936.0,-19122.0,191068.0,298.0,72423.0,7341.0,1328.0,15314.0,91.0,171946.0,835061.0,281702.0,4969.0,1004132.0,26028.0,55260.0,588404.0,1457780.0,1378683.0,10790.0,25283.0,16733.0,912453.0,7639.0,18171.0,56481.0,2879540.0,25810.0
1,2,42,1,1,10.79,1,1,0,41,0,0,0,0,0,0,0,1,0,1,0,50.25,2203.65,28.49,0,453.18,2628.34,0,30,0,0,1,0,0,1,95316,5513,51015.0,28123096.0,2161132.0,541229.0,1765077.0,3041.0,998034.0,58443.0,1810.0,10510.0,132.0,2306306.0,5794158.0,3060776.0,72913.0,12396286.0,30202.0,59714.0,3617795.0,17763368.0,17640196.0,6563.0,31999.0,12453.0,6865105.0,61484.0,207594.0,66016.0,28123096.0,269078.0
0,0,25,5,1,48.42,0,1,2,8,0,1,1,0,1,1,1,1,0,1,0,99.5,2369.05,19.5,0,1210.5,3560.05,0,35,0,0,0,0,0,1,95321,3680,52806.0,2879540.0,216936.0,-19122.0,191068.0,298.0,72423.0,7341.0,1328.0,15314.0,91.0,171946.0,835061.0,281702.0,4969.0,1004132.0,26028.0,55260.0,588404.0,1457780.0,1378683.0,10790.0,25283.0,16733.0,912453.0,7639.0,18171.0,56481.0,2879540.0,25810.0
0,0,9,5,1,24.52,0,1,2,9,0,0,0,0,0,0,0,1,0,0,0,71.0,672.55,8.35,0,220.68,884.8799999999999,0,49,0,0,0,0,0,1,95326,6822,51015.0,28123096.0,2161132.0,541229.0,1765077.0,3041.0,998034.0,58443.0,1810.0,10510.0,132.0,2306306.0,5794158.0,3060776.0,72913.0,12396286.0,30202.0,59714.0,3617795.0,17763368.0,17640196.0,6563.0,31999.0,12453.0,6865105.0,61484.0,207594.0,66016.0,28123096.0,269078.0
0,0,16,5,1,40.76,0,1,2,7,0,1,1,0,0,1,1,1,0,1,1,93.2,1573.7,35.7,0,652.16,2190.16,0,40,0,0,0,0,0,1,95327,9559,52806.0,2879540.0,216936.0,-19122.0,191068.0,298.0,72423.0,7341.0,1328.0,15314.0,91.0,171946.0,835061.0,281702.0,4969.0,1004132.0,26028.0,55260.0,588404.0,1457780.0,1378683.0,10790.0,25283.0,16733.0,912453.0,7639.0,18171.0,56481.0,2879540.0,25810.0
0,0,5,4,1,31.76,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,19.35,126.05,0.0,0,158.8,284.85,1,53,0,0,1,0,0,1,95330,10834,54183.0,42979635.0,3037973.0,353142.0,3091889.0,2588.0,1459405.0,86449.0,1840.0,10968.0,127.0,3445031.0,8699933.0,4327675.0,100561.0,17647134.0,35765.0,59741.0,5297790.0,25419840.0,27421946.0,6679.0,34570.0,12934.0,10259899.0,89037.0,295394.0,66123.0,42979635.0,384431.0
0,0,3,4,1,32.01,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,19.85,64.55,0.0,0,96.03,160.57999999999998,1,29,1,0,0,0,0,1,95334,12672,46188.0,13395227.0,976855.0,663260.0,750278.0,1868.0,628963.0,24024.0,2169.0,10579.0,170.0,1413538.0,3067986.0,1315682.0,49203.0,4542532.0,31230.0,51710.0,1541387.0,7271752.0,8107688.0,5315.0,27956.0,12917.0,3746152.0,25892.0,87846.0,63934.0,13395227.0,113738.0
1,4,31,5,1,3.73,1,1,2,13,0,0,1,1,1,1,1,1,0,1,0,104.2,3243.45,17.01,0,115.63,3342.07,0,51,0,0,1,0,0,1,95350,52872,51015.0,28123096.0,2161132.0,541229.0,1765077.0,3041.0,998034.0,58443.0,1810.0,10510.0,132.0,2306306.0,5794158.0,3060776.0,72913.0,12396286.0,30202.0,59714.0,3617795.0,17763368.0,17640196.0,6563.0,31999.0,12453.0,6865105.0,61484.0,207594.0,66016.0,28123096.0,269078.0
0,0,1,4,1,19.98,0,1,2,5,0,0,0,0,0,1,1,1,0,1,0,79.25,79.25,0.0,0,19.98,99.23,1,49,0,0,0,0,0,1,95354,27135,51015.0,28123096.0,2161132.0,541229.0,1765077.0,3041.0,998034.0,58443.0,1810.0,10510.0,132.0,2306306.0,5794158.0,3060776.0,72913.0,12396286.0,30202.0,59714.0,3617795.0,17763368.0,17640196.0,6563.0,31999.0,12453.0,6865105.0,61484.0,207594.0,66016.0,28123096.0,269078.0
0,0,1,4,1,41.78,0,1,1,59,0,0,0,0,0,0,0,1,0,1,0,44.9,44.9,0.0,0,41.78,86.68,0,30,0,0,0,0,0,1,95355,47613,51015.0,28123096.0,2161132.0,541229.0,1765077.0,3041.0,998034.0,58443.0,1810.0,10510.0,132.0,2306306.0,5794158.0,3060776.0,72913.0,12396286.0,30202.0,59714.0,3617795.0,17763368.0,17640196.0,6563.0,31999.0,12453.0,6865105.0,61484.0,207594.0,66016.0,28123096.0,269078.0
1,1,10,5,1,22.03,0,1,2,19,0,0,0,0,0,0,0,1,0,1,0,70.1,659.65,34.69,0,220.3,845.26,1,42,0,0,1,0,0,1,95358,30668,51015.0,28123096.0,2161132.0,541229.0,1765077.0,3041.0,998034.0,58443.0,1810.0,10510.0,132.0,2306306.0,5794158.0,3060776.0,72913.0,12396286.0,30202.0,59714.0,3617795.0,17763368.0,17640196.0,6563.0,31999.0,12453.0,6865105.0,61484.0,207594.0,66016.0,28123096.0,269078.0
0,0,4,4,0,0.0,0,1,1,48,0,0,1,0,0,0,1,1,0,1,0,29.65,118.5,0.0,0,0.0,118.5,1,27,1,0,0,0,0,1,95361,25384,51015.0,28123096.0,2161132.0,541229.0,1765077.0,3041.0,998034.0,58443.0,1810.0,10510.0,132.0,2306306.0,5794158.0,3060776.0,72913.0,12396286.0,30202.0,59714.0,3617795.0,17763368.0,17640196.0,6563.0,31999.0,12453.0,6865105.0,61484.0,207594.0,66016.0,28123096.0,269078.0
0,0,43,1,1,49.13,1,1,2,25,0,1,0,0,0,0,0,1,0,1,0,77.85,3365.85,0.0,0,2112.59,5478.4400000000005,1,47,0,0,0,0,0,1,95364,235,52806.0,2879540.0,216936.0,-19122.0,191068.0,298.0,72423.0,7341.0,1328.0,15314.0,91.0,171946.0,835061.0,281702.0,4969.0,1004132.0,26028.0,55260.0,588404.0,1457780.0,1378683.0,10790.0,25283.0,16733.0,912453.0,7639.0,18171.0,56481.0,2879540.0,25810.0
0,0,4,4,1,40.15,0,1,1,19,0,0,0,0,0,1,1,0,0,0,0,54.3,195.3,0.0,80,160.6,435.9,1,64,0,0,0,0,0,1,95365,4150,46188.0,13395227.0,976855.0,663260.0,750278.0,1868.0,628963.0,24024.0,2169.0,10579.0,170.0,1413538.0,3067986.0,1315682.0,49203.0,4542532.0,31230.0,51710.0,1541387.0,7271752.0,8107688.0,5315.0,27956.0,12917.0,3746152.0,25892.0,87846.0,63934.0,13395227.0,113738.0
1,1,47,1,1,19.02,1,1,2,17,1,0,1,1,1,1,1,1,1,1,1,110.85,5275.8,4.93,0,893.9399999999999,6164.81,1,42,0,0,1,0,0,1,95379,3979,52806.0,2879540.0,216936.0,-19122.0,191068.0,298.0,72423.0,7341.0,1328.0,15314.0,91.0,171946.0,835061.0,281702.0,4969.0,1004132.0,26028.0,55260.0,588404.0,1457780.0,1378683.0,10790.0,25283.0,16733.0,912453.0,7639.0,18171.0,56481.0,2879540.0,25810.0
0,0,1,5,1,35.77,0,1,2,69,0,0,0,0,0,1,1,1,0,0,0,80.5,80.5,0.0,0,35.77,116.27,1,24,1,0,0,0,0,1,95385,274,54183.0,42979635.0,3037973.0,353142.0,3091889.0,2588.0,1459405.0,86449.0,1840.0,10968.0,127.0,3445031.0,8699933.0,4327675.0,100561.0,17647134.0,35765.0,59741.0,5297790.0,25419840.0,27421946.0,6679.0,34570.0,12934.0,10259899.0,89037.0,295394.0,66123.0,42979635.0,384431.0
0,0,4,4,1,29.98,1,1,2,71,0,0,0,0,0,0,1,1,0,1,0,72.2,305.55,0.0,0,119.92,425.47,1,20,1,0,0,0,0,1,95401,36125,77900.0,37598558.0,2368858.0,13525.0,3709925.0,2521.0,508637.0,88265.0,1054.0,11732.0,90.0,3723450.0,5662671.0,3436031.0,43319.0,15738765.0,42032.0,71101.0,9106544.0,22898246.0,22277387.0,18868.0,46156.0,12876.0,6214627.0,90786.0,221359.0,73358.0,37598558.0,312145.0
0,0,17,3,1,46.6,0,1,0,2,0,0,0,1,0,0,0,1,0,0,2,51.5,900.5,35.34,0,792.2,1657.36,1,36,0,0,0,0,0,1,95404,35057,77900.0,37598558.0,2368858.0,13525.0,3709925.0,2521.0,508637.0,88265.0,1054.0,11732.0,90.0,3723450.0,5662671.0,3436031.0,43319.0,15738765.0,42032.0,71101.0,9106544.0,22898246.0,22277387.0,18868.0,46156.0,12876.0,6214627.0,90786.0,221359.0,73358.0,37598558.0,312145.0
1,1,21,3,1,17.57,1,1,0,14,1,1,0,1,1,0,0,0,1,0,2,77.5,1625.0,18.39,80,368.97,2055.58,1,34,0,0,1,0,0,1,95412,747,77900.0,37598558.0,2368858.0,13525.0,3709925.0,2521.0,508637.0,88265.0,1054.0,11732.0,90.0,3723450.0,5662671.0,3436031.0,43319.0,15738765.0,42032.0,71101.0,9106544.0,22898246.0,22277387.0,18868.0,46156.0,12876.0,6214627.0,90786.0,221359.0,73358.0,37598558.0,312145.0
1,1,42,1,1,18.26,1,1,2,29,0,1,1,0,1,0,0,1,0,1,0,95.25,3959.35,27.3,0,766.9200000000001,4698.969999999999,1,37,0,0,1,0,0,1,95420,333,57310.0,5145470.0,353347.0,8370.0,616828.0,887.0,174905.0,14150.0,1948.0,15569.0,95.0,625198.0,1397859.0,474100.0,8524.0,1750178.0,43592.0,51593.0,1028826.0,2849476.0,2535356.0,11459.0,28239.0,17612.0,1581288.0,15037.0,33923.0,58200.0,5145470.0,48960.0
